年份,地区,地区生产总值(万元),人均地区生产总值(元),户籍人口(万人),city_name,year_now,city_new_comp_cnt_now,year_last,city_new_comp_cnt_last,yoy_gr,city_idx,year
2021.0,乌海,7180000.0,128923.0,44.0,乌海,2022,6959,2021,7349,-5.306844468635186,28,2021.0
2019.0,乌鲁木齐,34130000.0,96723.0,227.0,乌鲁木齐,2020,40517,2019,42316,-4.251347008223839,293,2019.0
2020.0,乌鲁木齐,33370000.0,82314.0,231.0,乌鲁木齐,2021,50186,2020,40517,23.864057062467616,293,2020.0
2021.0,乌鲁木齐,36920000.0,90794.0,235.0,乌鲁木齐,2022,34564,2021,50186,-31.128203084525563,293,2021.0
2019.0,乐山,18630000.0,56999.0,350.0,乐山,2020,26843,2019,25542,5.093571372641148,234,2019.0
2020.0,乐山,20030000.0,63259.0,348.5,乐山,2021,29304,2020,26843,9.168125768356749,234,2020.0
2021.0,乐山,22050000.0,69850.0,347.0,乐山,2022,26609,2021,29304,-9.196696696696694,234,2021.0
2019.0,九江,31210000.0,63584.0,525.0,九江,2020,57118,2019,68156,-16.19519924878221,119,2019.0
2020.0,九江,32410000.0,70340.0,523.5,九江,2021,86598,2020,57118,51.61245141636612,119,2020.0
2021.0,九江,37360000.0,81551.0,522.0,九江,2022,137075,2021,86598,58.28887503175593,119,2021.0
2019.0,云浮,9220000.0,36354.0,301.0,云浮,2020,18695,2019,18397,1.619829319997823,204,2019.0
2020.0,云浮,10020000.0,42047.0,301.5,云浮,2021,18934,2020,18695,1.2784166889542758,204,2020.0
2021.0,云浮,11390000.0,47685.0,302.0,云浮,2022,21242,2021,18934,12.18971162987219,204,2021.0
2019.0,亳州,17490000.0,33314.0,663.0,亳州,2020,46567,2019,47656,-2.28512674164848,106,2019.0
2020.0,亳州,18060000.0,36156.0,666.0,亳州,2021,51015,2020,46567,9.551828548113471,106,2020.0
2021.0,亳州,19730000.0,39509.0,669.0,亳州,2022,77781,2021,51015,52.46692149367833,106,2021.0
2019.0,伊春,2990000.0,26384.0,112.0,伊春,2020,12075,2019,12138,-0.519031141868509,61,2019.0
2020.0,伊春,2940000.0,26506.0,110.0,伊春,2021,13314,2020,12075,10.26086956521739,61,2020.0
2021.0,伊春,3190000.0,36982.0,108.0,伊春,2022,14222,2021,13314,6.819888838816279,61,2021.0
2019.0,佛山,107510000.0,133850.0,461.0,佛山,2020,97541,2019,93240,4.612827112827111,202,2019.0
2020.0,佛山,108160000.0,114157.0,472.5,佛山,2021,123545,2020,97541,26.65955854461202,202,2020.0
2021.0,佛山,121570000.0,127085.0,484.0,佛山,2022,178234,2021,123545,44.26646161317738,202,2021.0
2019.0,佳木斯,7630000.0,32788.0,233.0,佳木斯,2020,27286,2019,30635,-10.931940590827482,63,2019.0
2020.0,佳木斯,8120000.0,35124.0,230.5,佳木斯,2021,32046,2020,27286,17.444843509492046,63,2020.0
2021.0,佳木斯,8160000.0,38247.0,228.0,佳木斯,2022,31069,2021,32046,-3.048742432752916,63,2021.0
2019.0,保定,37720000.0,31856.0,1215.0,保定,2020,126135,2019,122668,2.8263279746959302,9,2019.0
2020.0,保定,39540000.0,34269.0,1211.5,保定,2021,130440,2020,126135,3.413009870376982,9,2020.0
2021.0,保定,44020000.0,38157.0,1208.0,保定,2022,141311,2021,130440,8.334099969334563,9,2021.0
2019.0,保山,9610000.0,36548.0,264.0,保山,2020,20793,2019,19309,7.685535242632979,257,2019.0
2020.0,保山,10530000.0,43200.0,264.5,保山,2021,24953,2020,20793,20.006733035156053,257,2020.0
2021.0,保山,11660000.0,48074.0,265.0,保山,2022,37875,2021,24953,51.78535647016391,257,2021.0
2019.0,信阳,27580000.0,42641.0,912.0,信阳,2020,43681,2019,46727,-6.518715089776784,161,2019.0
2020.0,信阳,28050000.0,44922.0,911.0,信阳,2021,52998,2020,43681,21.32963988919667,161,2020.0
2021.0,信阳,30650000.0,49345.0,910.0,信阳,2022,108369,2021,52998,104.4775274538662,161,2021.0
2019.0,儋州,3580000.0,39065.0,98.0,儋州,2020,17525,2019,14188,23.519875951508308,225,2019.0
2020.0,儋州,3590000.0,41003.0,102.5,儋州,2021,17808,2020,17525,1.6148359486447994,225,2020.0
2021.0,儋州,8320000.0,86169.0,107.0,儋州,2022,16643,2021,17808,-6.542003593890389,225,2021.0
2019.0,克拉玛依,9730000.0,188857.0,31.0,克拉玛依,2020,5467,2019,6402,-14.604810996563575,294,2019.0
2020.0,克拉玛依,8870000.0,180871.0,31.5,克拉玛依,2021,6320,2020,5467,15.602707152002935,294,2020.0
2021.0,克拉玛依,10720000.0,205941.0,32.0,克拉玛依,2022,4840,2021,6320,-23.417721518987346,294,2021.0
2019.0,六安,16200000.0,33370.0,591.0,六安,2020,39832,2019,39719,0.2844986026838469,105,2019.0
2020.0,六安,16700000.0,37899.0,587.5,六安,2021,44828,2020,39832,12.54267925286201,105,2020.0
2021.0,六安,19230000.0,43690.0,584.0,六安,2022,58894,2021,44828,31.37771035959669,105,2021.0
2019.0,六盘水,12660000.0,43003.0,353.0,六盘水,2020,22640,2019,25313,-10.559791411527677,245,2019.0
2020.0,六盘水,13400000.0,44224.0,356.5,六盘水,2021,22280,2020,22640,-1.590106007067138,245,2020.0
2021.0,六盘水,14740000.0,48715.0,360.0,六盘水,2022,32334,2021,22280,45.12567324955117,245,2021.0
2019.0,兰州,28370000.0,75217.0,332.0,兰州,2020,40820,2019,40860,-0.0978952520802711,274,2019.0
2020.0,兰州,28870000.0,66680.0,334.0,兰州,2021,47410,2020,40820,16.144047035766775,274,2020.0
2021.0,兰州,32310000.0,73807.0,336.0,兰州,2022,37857,2021,47410,-20.14975743514027,274,2021.0
2019.0,内江,14330000.0,38743.0,408.0,内江,2020,18915,2019,18386,2.8771891656695248,233,2019.0
2020.0,内江,14660000.0,46228.0,405.5,内江,2021,25365,2020,18915,34.099920697858835,233,2020.0
2021.0,内江,16060000.0,51377.0,403.0,内江,2022,26030,2021,25365,2.621722846441954,233,2021.0
2019.0,包头,27140000.0,93835.0,225.0,包头,2020,26550,2019,25872,2.620593692022255,27,2019.0
2020.0,包头,27870000.0,102949.0,224.5,包头,2021,32649,2020,26550,22.971751412429377,27,2020.0
2021.0,包头,32930000.0,121331.0,224.0,包头,2022,25877,2021,32649,-20.74182976507704,27,2021.0
2019.0,北京,353710000.0,164220.0,1397.0,北京,2020,178535,2019,183996,-2.9679993043327024,0,2019.0
2020.0,北京,361030000.0,164889.0,1405.5,北京,2021,226930,2020,178535,27.10672977287367,0,2020.0
2021.0,北京,402700000.0,183980.0,1414.0,北京,2022,235482,2021,226930,3.768562992993441,0,2021.0
2019.0,北海,13010000.0,76955.0,180.0,北海,2020,27611,2019,23210,18.961654459284794,215,2019.0
2020.0,北海,12770000.0,69373.0,181.5,北海,2021,22328,2020,27611,-19.133678606352543,215,2020.0
2021.0,北海,15040000.0,80710.0,183.0,北海,2022,30152,2021,22328,35.041203869580805,215,2021.0
2019.0,十堰,20130000.0,59163.0,346.0,十堰,2020,28626,2019,45283,-36.7842236600932,163,2019.0
2020.0,十堰,19150000.0,58304.0,343.0,十堰,2021,66385,2020,28626,131.90456228603367,163,2020.0
2021.0,十堰,21640000.0,67973.0,340.0,十堰,2022,88313,2021,66385,33.03155833396099,163,2021.0
2019.0,南京,140310000.0,165681.0,710.0,南京,2020,217264,2019,202250,7.423485784919648,69,2019.0
2020.0,南京,148180000.0,159322.0,722.0,南京,2021,213933,2020,217264,-1.5331578172177671,69,2020.0
2021.0,南京,163560000.0,174520.0,734.0,南京,2022,156222,2021,213933,-26.976202829857943,69,2021.0
2019.0,南充,23220000.0,36073.0,724.0,南充,2020,40302,2019,35844,12.437227987947775,230,2019.0
2020.0,南充,24010000.0,42482.0,719.5,南充,2021,42460,2020,40302,5.354572974045957,230,2020.0
2021.0,南充,26020000.0,46589.0,715.0,南充,2022,42473,2021,42460,0.0306170513424408,230,2021.0
2019.0,南宁,45070000.0,61738.0,782.0,南宁,2020,90839,2019,99930,-9.097368157710395,208,2019.0
2020.0,南宁,47260000.0,54669.0,791.5,南宁,2021,102473,2020,90839,12.807274408569016,208,2020.0
2021.0,南宁,51210000.0,58241.0,801.0,南宁,2022,114800,2021,102473,12.029510212446205,208,2021.0
2019.0,南平,19920000.0,74036.0,318.0,南平,2020,44718,2019,36286,23.237612302265333,111,2019.0
2020.0,南平,20070000.0,74903.0,316.5,南平,2021,64288,2020,44718,43.76313788630976,111,2020.0
2021.0,南平,21180000.0,79162.0,315.0,南平,2022,44716,2021,64288,-30.444250871080136,111,2021.0
2019.0,南昌,55960000.0,100415.0,536.0,南昌,2020,77351,2019,89661,-13.729492198391725,118,2019.0
2020.0,南昌,57460000.0,92697.0,538.0,南昌,2021,93776,2020,77351,21.2343731819886,118,2020.0
2021.0,南昌,66510000.0,104788.0,540.0,南昌,2022,178835,2021,93776,90.7044446340215,118,2021.0
2019.0,南通,93830000.0,128294.0,760.0,南通,2020,147836,2019,110668,33.585137528463505,77,2019.0
2020.0,南通,100360000.0,129900.0,756.0,南通,2021,115955,2020,147836,-21.565112692442977,77,2020.0
2021.0,南通,110270000.0,142721.0,752.0,南通,2022,79134,2021,115955,-31.754559958604634,77,2021.0
2019.0,南阳,38150000.0,38064.0,1239.0,南阳,2020,89845,2019,80393,11.75724254599282,157,2019.0
2020.0,南阳,39260000.0,40315.0,1235.0,南阳,2021,114212,2020,89845,27.121153097000384,157,2020.0
2021.0,南阳,43420000.0,44894.0,1231.0,南阳,2022,207181,2021,114212,81.40037824396735,157,2021.0
2019.0,厦门,59950000.0,142739.0,261.0,厦门,2020,76437,2019,80499,-5.046025416464806,109,2019.0
2020.0,厦门,63840000.0,123962.0,272.0,厦门,2021,85150,2020,76437,11.39892983764408,109,2020.0
2021.0,厦门,70340000.0,134491.0,283.0,厦门,2022,86784,2021,85150,1.918966529653554,109,2021.0
2019.0,双鸭山,4760000.0,33857.0,141.0,双鸭山,2020,13472,2019,13160,2.370820668693008,64,2019.0
2020.0,双鸭山,4940000.0,35391.0,139.0,双鸭山,2021,15783,2020,13472,17.154097387173394,64,2020.0
2021.0,双鸭山,5160000.0,43270.0,137.0,双鸭山,2022,16687,2021,15783,5.7276816828232935,64,2021.0
2019.0,台州,51340000.0,83555.0,607.0,台州,2020,89664,2019,79436,12.87577420816759,90,2019.0
2020.0,台州,52630000.0,79889.0,606.5,台州,2021,83088,2020,89664,-7.334047109207709,90,2020.0
2021.0,台州,57860000.0,87089.0,606.0,台州,2022,104442,2021,83088,25.7004621606008,90,2021.0
2019.0,合肥,94090000.0,115623.0,770.0,合肥,2020,148321,2019,165860,-10.574580971904012,93,2019.0
2020.0,合肥,100460000.0,108427.0,781.5,合肥,2021,205372,2020,148321,38.464546490382354,93,2020.0
2021.0,合肥,114130000.0,121187.0,793.0,合肥,2022,230729,2021,205372,12.346863253023788,93,2021.0
2019.0,吉安,20850000.0,42060.0,540.0,吉安,2020,48857,2019,50297,-2.862993816728632,128,2019.0
2020.0,吉安,21680000.0,48307.0,539.0,吉安,2021,67049,2020,48857,37.235196594142096,128,2020.0
2021.0,吉安,25260000.0,56789.0,538.0,吉安,2022,61164,2021,67049,-8.77716297036496,128,2021.0
