year,city,GDP,人均地区生产总值(元),population,job_count_last,job_count,gr,job_gr,city_new_comp_cnt,year_last,city_new_comp_cnt_last,yoy_gr,city_name,city_idx
2021,临沂,54660000.0,49585.0,1201.0,73.018,71.899,-1.5324988359034755,1.225496991709874,149240,2021,178417,10.6537500232574,临沂,139
2019,临沧,7590000.0,29926.0,241.0,14.224,13.638,-4.119797525309338,-9.688888888888886,18994,2019,18613,5.797760472915364,临沧,256
2020,临沧,8210000.0,36213.0,241.5,13.638,14.068,3.152954978735883,-4.119797525309338,24088,2020,18994,2.0469564283027992,临沧,256
2021,临沧,9080000.0,40458.0,242.0,14.068,15.943,13.328120557293147,3.152954978735883,46298,2021,24088,26.818995472254397,临沧,256
2019,丹东,7680000.0,32256.0,233.0,18.174,17.024,-6.32772091999559,3.4494535519125566,20396,2019,30472,8.58425685065745,丹东,40
2020,丹东,7790000.0,35389.0,231.0,17.024,17.402,2.2203947368421058,-6.32772091999559,23613,2020,20396,-33.06642163297454,丹东,40
2021,丹东,8540000.0,39402.0,229.0,17.402,16.834,-3.2639926445236256,2.2203947368421058,19759,2021,23613,15.77270052951559,丹东,40
2019,丽水,14770000.0,66936.0,271.0,19.508,20.534,5.259380766864876,2.6088786029875797,51760,2019,41843,23.71167548709458,丽水,92
2020,丽水,15400000.0,61811.0,270.5,20.534,20.702,0.8181552546995365,5.259380766864876,50587,2020,51760,23.700499486174508,丽水,92
2021,丽水,17100000.0,68101.0,270.0,20.702,21.416,3.4489421311950466,0.8181552546995365,49965,2021,50587,-2.266228748068006,丽水,92
2019,丽江,4730000.0,36369.0,123.0,8.559,7.924,-7.419091015305514,-12.885496183206108,22564,2019,18769,13.332528228971679,丽江,253
2020,丽江,5130000.0,40857.0,123.5,7.924,8.135,2.6627965673901994,-7.419091015305514,23612,2020,22564,20.219510895625767,丽江,253
2021,丽江,5700000.0,45475.0,124.0,8.135,8.092,-0.528580208973562,2.6627965673901994,27512,2021,23612,4.644566566211664,丽江,253
2019,乌兰察布,8080000.0,38622.0,269.0,15.801,15.345,-2.8858932978925353,4.159525379037576,20016,2019,18606,0.4643628509719222,乌兰察布,34
2020,乌兰察布,8270000.0,47837.0,266.5,15.345,15.43,0.5539263603779672,-2.8858932978925353,19898,2020,20016,7.578200580457917,乌兰察布,34
2021,乌兰察布,9040000.0,53871.0,264.0,15.43,15.215,-1.3933895009721313,0.5539263603779672,14986,2021,19898,-0.5895283772981614,乌兰察布,34
2019,乌海,5510000.0,97565.0,44.0,8.429,7.638,-9.384268596512047,5.520781171757634,7052,2019,8144,10.742453086755507,乌海,28
2020,乌海,5630000.0,101238.0,44.0,7.638,7.791,2.003142183817759,-9.384268596512047,7349,2020,7052,-13.408644400785855,乌海,28
2021,乌海,7180000.0,128923.0,44.0,7.791,7.96,2.1691695546142933,2.003142183817759,6959,2021,7349,4.211571185479297,乌海,28
2019,乌鲁木齐,34130000.0,96723.0,227.0,77.697,82.0,5.538180367324346,6.14199259572958,40517,2019,42316,1.4674851333205448,乌鲁木齐,293
2020,乌鲁木齐,33370000.0,82314.0,231.0,82.0,82.165,0.2012195121951296,5.538180367324346,50186,2020,40517,-4.251347008223839,乌鲁木齐,293
2021,乌鲁木齐,36920000.0,90794.0,235.0,82.165,72.424,-11.855412888699567,0.2012195121951296,34564,2021,50186,23.864057062467605,乌鲁木齐,293
2019,乐山,18630000.0,56999.0,350.0,23.837,23.11,-3.0498804379745788,-0.8774118429806991,26843,2019,25542,2.946273830155979,乐山,234
2020,乐山,20030000.0,63259.0,348.5,23.11,23.219,0.4716572912159315,-3.0498804379745788,29304,2020,26843,5.09357137264114,乐山,234
2021,乐山,22050000.0,69850.0,347.0,23.219,26.637,14.720702872647399,0.4716572912159315,26609,2021,29304,9.168125768356742,乐山,234
2019,九江,31210000.0,63584.0,525.0,41.361,43.672,5.587389086337372,3.7578707071720583,57118,2019,68156,-4.868516554072916,九江,119
2020,九江,32410000.0,70340.0,523.5,43.672,43.628,-0.10075105330645936,5.587389086337372,86598,2020,57118,-16.195199248782206,九江,119
2021,九江,37360000.0,81551.0,522.0,43.628,43.893,0.6074080865499234,-0.10075105330645936,137075,2021,86598,51.61245141636612,九江,119
2019,云浮,9220000.0,36354.0,301.0,19.13,17.223,-9.968635650810247,4.210927711499699,18695,2019,18397,-9.195459032576506,云浮,204
2020,云浮,10020000.0,42047.0,301.5,17.223,17.659,2.5314985774835974,-9.968635650810247,18934,2020,18695,1.6198293199978258,云浮,204
2021,云浮,11390000.0,47685.0,302.0,17.659,17.528,-0.7418313607792074,2.5314985774835974,21242,2021,18934,1.2784166889542659,云浮,204
2019,亳州,17490000.0,33314.0,663.0,26.662,23.493,-11.885830020253547,0.6873111782477289,46567,2019,47656,-8.842938847338319,亳州,106
2020,亳州,18060000.0,36156.0,666.0,23.493,24.659,4.963180521857576,-11.885830020253547,51015,2020,46567,-2.285126741648481,亳州,106
2021,亳州,19730000.0,39509.0,669.0,24.659,25.065,1.6464576827933102,4.963180521857576,77781,2021,51015,9.551828548113471,亳州,106
2019,伊春,2990000.0,26384.0,112.0,16.413,10.638,-35.18552367026138,-1.138417058185761,12075,2019,12138,-0.8090218190733023,伊春,61
2020,伊春,2940000.0,26506.0,110.0,10.638,11.319,6.401579244218847,-35.18552367026138,13314,2020,12075,-0.5190311418685121,伊春,61
2021,伊春,3190000.0,36982.0,108.0,11.319,10.848,-4.161144977471508,6.401579244218847,14222,2021,13314,10.26086956521739,伊春,61
2019,佛山,107510000.0,133850.0,461.0,151.639,151.314,-0.2143248108995819,-7.15790118165677,97541,2019,93240,6.24793463769272,佛山,202
2020,佛山,108160000.0,114157.0,472.5,151.314,154.554,2.141242713826883,-0.2143248108995819,123545,2020,97541,4.612827112827113,佛山,202
